"","Entity","Code","Year","Fertilizer","Fertilizer_Unit","Yield_Cereal","Yield_Unit","Population","continent"
"57","Afghanistan","AFG",2002,3.40336025," (kg per hectare)",1669.8," (kg per hectare)",24639841,"Asia"
"58","Afghanistan","AFG",2003,3.275090067," (kg per hectare)",1458," (kg per hectare)",25678639,"Asia"
"59","Afghanistan","AFG",2004,4.535568066," (kg per hectare)",1334.8," (kg per hectare)",26693486,"Asia"
"60","Afghanistan","AFG",2005,4.240358744," (kg per hectare)",1790.4," (kg per hectare)",27614718,"Asia"
"61","Afghanistan","AFG",2006,6.290993072," (kg per hectare)",1551.7," (kg per hectare)",28420974,"Asia"
"62","Afghanistan","AFG",2007,3.618809341," (kg per hectare)",1915.3," (kg per hectare)",29145841,"Asia"
"63","Afghanistan","AFG",2008,2.988067744," (kg per hectare)",1455.4," (kg per hectare)",29839994,"Asia"
"64","Afghanistan","AFG",2009,4.521493648," (kg per hectare)",2040.7," (kg per hectare)",30577756,"Asia"
"65","Afghanistan","AFG",2010,4.254972411," (kg per hectare)",2011.1," (kg per hectare)",31411743,"Asia"
"66","Afghanistan","AFG",2011,6.610062893," (kg per hectare)",1659.9," (kg per hectare)",32358260,"Asia"
"67","Afghanistan","AFG",2012,28.06564827," (kg per hectare)",2029.6," (kg per hectare)",33397058,"Asia"
"68","Afghanistan","AFG",2013,14.87932434," (kg per hectare)",2048.5," (kg per hectare)",34499915,"Asia"
"163","Albania","ALB",2002,97.18512111," (kg per hectare)",3291.9," (kg per hectare)",3089778,"Europe"
"164","Albania","ALB",2003,98.93252595," (kg per hectare)",3185.7," (kg per hectare)",3106701,"Europe"
"165","Albania","ALB",2004,100.5986159," (kg per hectare)",3466.3," (kg per hectare)",3124861,"Europe"
"166","Albania","ALB",2005,111.5966543," (kg per hectare)",3462.1," (kg per hectare)",3141800,"Europe"
"167","Albania","ALB",2006,85.09246575," (kg per hectare)",3602.6," (kg per hectare)",3156607,"Europe"
"168","Albania","ALB",2007,87.16782007," (kg per hectare)",3728.4," (kg per hectare)",3169665,"Europe"
"169","Albania","ALB",2008,75.87704918," (kg per hectare)",4081.2," (kg per hectare)",3181397,"Europe"
"170","Albania","ALB",2009,89.38587849," (kg per hectare)",4315.3," (kg per hectare)",3192723,"Europe"
"171","Albania","ALB",2010,97.32268371," (kg per hectare)",4761.8," (kg per hectare)",3204284,"Europe"
"172","Albania","ALB",2011,97.13665595," (kg per hectare)",4750.7," (kg per hectare)",3215988,"Europe"
"173","Albania","ALB",2012,92.77176547," (kg per hectare)",4883.8," (kg per hectare)",3227373,"Europe"
"174","Albania","ALB",2013,87.47690812," (kg per hectare)",4949.8," (kg per hectare)",3238316,"Europe"
"235","Algeria","DZA",2002,9.641579436," (kg per hectare)",1058.6," (kg per hectare)",31441848,"Africa"
"236","Algeria","DZA",2003,6.001172755," (kg per hectare)",1470.3," (kg per hectare)",31913462,"Africa"
"237","Algeria","DZA",2004,25.09515548," (kg per hectare)",1344.1," (kg per hectare)",32396048,"Africa"
"238","Algeria","DZA",2005,7.429902809," (kg per hectare)",1500.8," (kg per hectare)",32888449,"Africa"
"239","Algeria","DZA",2006,13.2626506," (kg per hectare)",1503.7," (kg per hectare)",33391954,"Africa"
"240","Algeria","DZA",2007,14.96157451," (kg per hectare)",1253.4," (kg per hectare)",33906605,"Africa"
"241","Algeria","DZA",2008,8.576712512," (kg per hectare)",1034," (kg per hectare)",34428028,"Africa"
"242","Algeria","DZA",2009,13.98665421," (kg per hectare)",1653.9," (kg per hectare)",34950168,"Africa"
"243","Algeria","DZA",2010,19.48147161," (kg per hectare)",1474.3," (kg per hectare)",35468208,"Africa"
"244","Algeria","DZA",2011,17.48507065," (kg per hectare)",1643.3," (kg per hectare)",35980193,"Africa"
"245","Algeria","DZA",2012,19.40016119," (kg per hectare)",1677.6," (kg per hectare)",36485828,"Africa"
"246","Algeria","DZA",2013,19.66367093," (kg per hectare)",1813.1," (kg per hectare)",36983924,"Africa"
"443","Angola","AGO",2002,1.659032258," (kg per hectare)",627.2," (kg per hectare)",14890474,"Africa"
"444","Angola","AGO",2003,1.788787879," (kg per hectare)",646.1," (kg per hectare)",15419943,"Africa"
