"","Entity","Code","Year","Tractors","Tractors_Unit","Yield_Cereal","Yield_Unit","Population","continent"
"16","Afghanistan","AFG",1961,0.156862745," per 100 sq km arable land",1115.1,"(kilograms per hectare)",9859928,"Asia"
"17","Afghanistan","AFG",1962,0.194805195," per 100 sq km arable land",1079,"(kilograms per hectare)",10056480,"Asia"
"18","Afghanistan","AFG",1963,0.258064516," per 100 sq km arable land",985.8,"(kilograms per hectare)",10261254,"Asia"
"19","Afghanistan","AFG",1964,0.256410256," per 100 sq km arable land",1082.8,"(kilograms per hectare)",10474903,"Asia"
"20","Afghanistan","AFG",1965,0.384615385," per 100 sq km arable land",1098.9,"(kilograms per hectare)",10697983,"Asia"
"21","Afghanistan","AFG",1966,0.510529675," per 100 sq km arable land",1012.3,"(kilograms per hectare)",10927724,"Asia"
"22","Afghanistan","AFG",1967,0.637429883," per 100 sq km arable land",1224.5,"(kilograms per hectare)",11163656,"Asia"
"23","Afghanistan","AFG",1968,0.637429883," per 100 sq km arable land",1287.5,"(kilograms per hectare)",11411022,"Asia"
"24","Afghanistan","AFG",1969,0.699745547," per 100 sq km arable land",1310.4,"(kilograms per hectare)",11676990,"Asia"
"25","Afghanistan","AFG",1970,0.698856417," per 100 sq km arable land",1105.1,"(kilograms per hectare)",11964906,"Asia"
"26","Afghanistan","AFG",1971,0.759493671," per 100 sq km arable land",976.2,"(kilograms per hectare)",12273101,"Asia"
"27","Afghanistan","AFG",1972,0.758533502," per 100 sq km arable land",1006.9,"(kilograms per hectare)",12593688,"Asia"
"28","Afghanistan","AFG",1973,0.739570164," per 100 sq km arable land",1279.6,"(kilograms per hectare)",12915499,"Asia"
"29","Afghanistan","AFG",1974,0.720606827," per 100 sq km arable land",1301.9,"(kilograms per hectare)",13223928,"Asia"
"30","Afghanistan","AFG",1975,0.695322377," per 100 sq km arable land",1316.4,"(kilograms per hectare)",13505544,"Asia"
"31","Afghanistan","AFG",1976,0.670037927," per 100 sq km arable land",1362.4,"(kilograms per hectare)",13766792,"Asia"
"32","Afghanistan","AFG",1977,0.651074589," per 100 sq km arable land",1224,"(kilograms per hectare)",14003408,"Asia"
"33","Afghanistan","AFG",1978,0.625790139," per 100 sq km arable land",1291.9,"(kilograms per hectare)",14179656,"Asia"
"34","Afghanistan","AFG",1979,0.568900126," per 100 sq km arable land",1323.7,"(kilograms per hectare)",14249493,"Asia"
"35","Afghanistan","AFG",1980,0.505689001," per 100 sq km arable land",1349,"(kilograms per hectare)",14185729,"Asia"
"36","Afghanistan","AFG",1981,0.442477876," per 100 sq km arable land",1338.3,"(kilograms per hectare)",13984092,"Asia"
"37","Afghanistan","AFG",1982,0.379266751," per 100 sq km arable land",1330.2,"(kilograms per hectare)",13672870,"Asia"
"38","Afghanistan","AFG",1983,0.316055626," per 100 sq km arable land",1355.6,"(kilograms per hectare)",13300056,"Asia"
"39","Afghanistan","AFG",1984,0.252844501," per 100 sq km arable land",1334.1,"(kilograms per hectare)",12931791,"Asia"
"40","Afghanistan","AFG",1985,0.189633375," per 100 sq km arable land",1331.7,"(kilograms per hectare)",12625292,"Asia"
"41","Afghanistan","AFG",1986,0.189633375," per 100 sq km arable land",1314,"(kilograms per hectare)",12372113,"Asia"
"42","Afghanistan","AFG",1987,0.1517067," per 100 sq km arable land",1359.8,"(kilograms per hectare)",12183387,"Asia"
"43","Afghanistan","AFG",1988,0.1517067," per 100 sq km arable land",1285.7,"(kilograms per hectare)",12156685,"Asia"
"44","Afghanistan","AFG",1989,0.1517067," per 100 sq km arable land",1237.6,"(kilograms per hectare)",12414686,"Asia"
"45","Afghanistan","AFG",1990,0.1517067," per 100 sq km arable land",1200.6,"(kilograms per hectare)",13032161,"Asia"
"46","Afghanistan","AFG",1991,0.1517067," per 100 sq km arable land",1160.6,"(kilograms per hectare)",14069854,"Asia"
"47","Afghanistan","AFG",1992,0.139064475," per 100 sq km arable land",1097.8,"(kilograms per hectare)",15472076,"Asia"
"48","Afghanistan","AFG",1993,0.140593047," per 100 sq km arable land",1133,"(kilograms per hectare)",17053213,"Asia"
"49","Afghanistan","AFG",1994,0.142801506," per 100 sq km arable land",1140.4,"(kilograms per hectare)",18553819,"Asia"
"50","Afghanistan","AFG",1995,0.143734483," per 100 sq km arable land",1214.2,"(kilograms per hectare)",19789880,"Asia"
"51","Afghanistan","AFG",1996,0.14384726," per 100 sq km arable land",1204.5,"(kilograms per hectare)",20684982,"Asia"
"52","Afghanistan","AFG",1997,0.143135979," per 100 sq km arable land",1348.8,"(kilograms per hectare)",21299350,"Asia"
"53","Afghanistan","AFG",1998,0.1418074," per 100 sq km arable land",1388,"(kilograms per hectare)",21752257,"Asia"
"54","Afghanistan","AFG",1999,0.143734483," per 100 sq km arable land",1285.6,"(kilograms per hectare)",22227543,"Asia"
"55","Afghanistan","AFG",2000,0.14317324," per 100 sq km arable land",806.3,"(kilograms per hectare)",22856302,"Asia"
"122","Albania","ALB",1961,67.12962963," per 100 sq km arable land",845.2,"(kilograms per hectare)",1661158,"Europe"
"123","Albania","ALB",1962,87.1559633," per 100 sq km arable land",941.8,"(kilograms per hectare)",1712563,"Europe"
"124","Albania","ALB",1963,86.36363636," per 100 sq km arable land",982.3,"(kilograms per hectare)",1764593,"Europe"
"125","Albania","ALB",1964,94.80812641," per 100 sq km arable land",1023.3,"(kilograms per hectare)",1817098,"Europe"
"126","Albania","ALB",1965,94.15217391," per 100 sq km arable land",1037.3,"(kilograms per hectare)",1869942,"Europe"
"127","Albania","ALB",1966,99.24210526," per 100 sq km arable land",1318.6,"(kilograms per hectare)",1922993,"Europe"
"128","Albania","ALB",1967,109.0368852," per 100 sq km arable land",1464.1,"(kilograms per hectare)",1976140,"Europe"
"129","Albania","ALB",1968,114.38," per 100 sq km arable land",1553.7,"(kilograms per hectare)",2029314,"Europe"
"130","Albania","ALB",1969,115.372549," per 100 sq km arable land",1639.8,"(kilograms per hectare)",2082474,"Europe"
"131","Albania","ALB",1970,115.4510557," per 100 sq km arable land",1646.1,"(kilograms per hectare)",2135599,"Europe"
"132","Albania","ALB",1971,126.4150943," per 100 sq km arable land",1753.6,"(kilograms per hectare)",2188650,"Europe"
"133","Albania","ALB",1972,137.037037," per 100 sq km arable land",1768.7,"(kilograms per hectare)",2241623,"Europe"
"134","Albania","ALB",1973,149.3430657," per 100 sq km arable land",1843,"(kilograms per hectare)",2294578,"Europe"
"135","Albania","ALB",1974,156.1938959," per 100 sq km arable land",1934.5,"(kilograms per hectare)",2347607,"Europe"
"136","Albania","ALB",1975,170.8703375," per 100 sq km arable land",2028.9,"(kilograms per hectare)",2400801,"Europe"
"137","Albania","ALB",1976,170.4347826," per 100 sq km arable land",2445.1,"(kilograms per hectare)",2454255,"Europe"
"138","Albania","ALB",1977,172.4137931," per 100 sq km arable land",2550.1,"(kilograms per hectare)",2508026,"Europe"
"139","Albania","ALB",1978,173.2418525," per 100 sq km arable land",2620.2,"(kilograms per hectare)",2562121,"Europe"
"140","Albania","ALB",1979,173.2418525," per 100 sq km arable land",2634.8,"(kilograms per hectare)",2616530,"Europe"
"141","Albania","ALB",1980,172.7350427," per 100 sq km arable land",2364,"(kilograms per hectare)",2671300,"Europe"
"142","Albania","ALB",1981,173.4693878," per 100 sq km arable land",2500.6,"(kilograms per hectare)",2725029,"Europe"
"143","Albania","ALB",1982,174.8726655," per 100 sq km arable land",2715.2,"(kilograms per hectare)",2777592,"Europe"
"144","Albania","ALB",1983,176.910017," per 100 sq km arable land",3046,"(kilograms per hectare)",2831682,"Europe"
"145","Albania","ALB",1984,173.1748727," per 100 sq km arable land",2966.3,"(kilograms per hectare)",2891004,"Europe"
"146","Albania","ALB",1985,168.9303905," per 100 sq km arable land",2900.6,"(kilograms per hectare)",2957390,"Europe"
"147","Albania","ALB",1986,173.1748727," per 100 sq km arable land",2990.3,"(kilograms per hectare)",3033393,"Europe"
"148","Albania","ALB",1987,180.1694915," per 100 sq km arable land",2965.6,"(kilograms per hectare)",3116009,"Europe"
"149","Albania","ALB",1988,196.6101695," per 100 sq km arable land",2875,"(kilograms per hectare)",3194854,"Europe"
"150","Albania","ALB",1989,207.9037801," per 100 sq km arable land",2961.7,"(kilograms per hectare)",3255859,"Europe"
"151","Albania","ALB",1990,212.4352332," per 100 sq km arable land",2794.4,"(kilograms per hectare)",3289483,"Europe"
"152","Albania","ALB",1991,163.8235294," per 100 sq km arable land",2071.9,"(kilograms per hectare)",3291695,"Europe"
"153","Albania","ALB",1992,155.7093426," per 100 sq km arable land",2156.2,"(kilograms per hectare)",3266983,"Europe"
"154","Albania","ALB",1993,156.8284229," per 100 sq km arable land",2685,"(kilograms per hectare)",3224901,"Europe"
"155","Albania","ALB",1994,157.712305," per 100 sq km arable land",2460.9,"(kilograms per hectare)",3179442,"Europe"
"156","Albania","ALB",1995,154.9046794," per 100 sq km arable land",2841.5,"(kilograms per hectare)",3141102,"Europe"
"157","Albania","ALB",1996,144.0727903," per 100 sq km arable land",2450.9,"(kilograms per hectare)",3112597,"Europe"
"158","Albania","ALB",1997,136.8512111," per 100 sq km arable land",2833.3,"(kilograms per hectare)",3091902,"Europe"
"159","Albania","ALB",1998,141.2478336," per 100 sq km arable land",2872.1,"(kilograms per hectare)",3079037,"Europe"
"160","Albania","ALB",1999,142.1143847," per 100 sq km arable land",2798.1,"(kilograms per hectare)",3072725,"Europe"
"161","Albania","ALB",2000,139.9134948," per 100 sq km arable land",3175.1,"(kilograms per hectare)",3071856,"Europe"
"162","Albania","ALB",2001,132.3010381," per 100 sq km arable land",3030.8,"(kilograms per hectare)",3077378,"Europe"
"163","Albania","ALB",2002,130.017301," per 100 sq km arable land",3291.9,"(kilograms per hectare)",3089778,"Europe"
"164","Albania","ALB",2003,102.3702422," per 100 sq km arable land",3185.7,"(kilograms per hectare)",3106701,"Europe"
"165","Albania","ALB",2004,131.0380623," per 100 sq km arable land",3466.3,"(kilograms per hectare)",3124861,"Europe"
"166","Albania","ALB",2005,150.9665428," per 100 sq km arable land",3462.1,"(kilograms per hectare)",3141800,"Europe"
"167","Albania","ALB",2006,135.3082192," per 100 sq km arable land",3602.6,"(kilograms per hectare)",3156607,"Europe"
"168","Albania","ALB",2007,126.5916955," per 100 sq km arable land",3728.4,"(kilograms per hectare)",3169665,"Europe"
"169","Albania","ALB",2008,121.9344262," per 100 sq km arable land",4081.2,"(kilograms per hectare)",3181397,"Europe"
"194","Algeria","DZA",1961,41.71817058," per 100 sq km arable land",346.2,"(kilograms per hectare)",11006643,"Africa"
"195","Algeria","DZA",1962,43.33333333," per 100 sq km arable land",814,"(kilograms per hectare)",11209845,"Africa"
"196","Algeria","DZA",1963,44.35483871," per 100 sq km arable land",803.8,"(kilograms per hectare)",11420845,"Africa"
"197","Algeria","DZA",1964,45.66210046," per 100 sq km arable land",530.2,"(kilograms per hectare)",11654905,"Africa"
"198","Algeria","DZA",1965,45.6230856," per 100 sq km arable land",606.3,"(kilograms per hectare)",11923002,"Africa"
"199","Algeria","DZA",1966,48.22375824," per 100 sq km arable land",403.9,"(kilograms per hectare)",12229853,"Africa"
"200","Algeria","DZA",1967,62.68846215," per 100 sq km arable land",631.4,"(kilograms per hectare)",12572629,"Africa"
"201","Algeria","DZA",1968,63.75140157," per 100 sq km arable land",705.2,"(kilograms per hectare)",12945462,"Africa"
"202","Algeria","DZA",1969,64.17455479," per 100 sq km arable land",614.9,"(kilograms per hectare)",13338918,"Africa"
"203","Algeria","DZA",1970,64.34058899," per 100 sq km arable land",637.5,"(kilograms per hectare)",13746185,"Africa"
"204","Algeria","DZA",1971,63.47962382," per 100 sq km arable land",587.8,"(kilograms per hectare)",14165889,"Africa"
"205","Algeria","DZA",1972,62.51920123," per 100 sq km arable land",671.7,"(kilograms per hectare)",14600659,"Africa"
"206","Algeria","DZA",1973,62.96068796," per 100 sq km arable land",493.7,"(kilograms per hectare)",15052371,"Africa"
"207","Algeria","DZA",1974,63.11124694," per 100 sq km arable land",497.9,"(kilograms per hectare)",15524137,"Africa"
"208","Algeria","DZA",1975,60.62819576," per 100 sq km arable land",845.2,"(kilograms per hectare)",16018195,"Africa"
"209","Algeria","DZA",1976,58.93965031," per 100 sq km arable land",690.5,"(kilograms per hectare)",16533323,"Africa"
"210","Algeria","DZA",1977,60.83429896," per 100 sq km arable land",410.9,"(kilograms per hectare)",17068212,"Africa"
"211","Algeria","DZA",1978,61.15351132," per 100 sq km arable land",586.1,"(kilograms per hectare)",17624756,"Africa"
"212","Algeria","DZA",1979,66.96903301," per 100 sq km arable land",561.5,"(kilograms per hectare)",18205468,"Africa"
"213","Algeria","DZA",1980,68.36363636," per 100 sq km arable land",760.4,"(kilograms per hectare)",18811199,"Africa"
"214","Algeria","DZA",1981,69.7167756," per 100 sq km arable land",646.2,"(kilograms per hectare)",19442423,"Africa"
"215","Algeria","DZA",1982,71.50123529," per 100 sq km arable land",593.3,"(kilograms per hectare)",20095648,"Africa"
"216","Algeria","DZA",1983,76.27275485," per 100 sq km arable land",579.5,"(kilograms per hectare)",20762767,"Africa"
"217","Algeria","DZA",1984,88.67534346," per 100 sq km arable land",547.4,"(kilograms per hectare)",21433070,"Africa"
"218","Algeria","DZA",1985,108.9869754," per 100 sq km arable land",912.5,"(kilograms per hectare)",22098298,"Africa"
"219","Algeria","DZA",1986,118.6263815," per 100 sq km arable land",837.2,"(kilograms per hectare)",22753511,"Africa"
"220","Algeria","DZA",1987,126.2851889," per 100 sq km arable land",759.9,"(kilograms per hectare)",23398470,"Africa"
"221","Algeria","DZA",1988,129.1367413," per 100 sq km arable land",574.1,"(kilograms per hectare)",24035237,"Africa"
"222","Algeria","DZA",1989,111.9497826," per 100 sq km arable land",760.4,"(kilograms per hectare)",24668100,"Africa"
"223","Algeria","DZA",1990,129.1145318," per 100 sq km arable land",687.7,"(kilograms per hectare)",25299182,"Africa"
"224","Algeria","DZA",1991,135.2024793," per 100 sq km arable land",1114.6,"(kilograms per hectare)",25930560,"Africa"
"225","Algeria","DZA",1992,121.113462," per 100 sq km arable land",943.3,"(kilograms per hectare)",26557969,"Africa"
"226","Algeria","DZA",1993,128.1561131," per 100 sq km arable land",741.7,"(kilograms per hectare)",27169903,"Africa"
